,now,doc,size(MB),storageSize(MB),chunk,insert_per_10sec
172,2016-03-25 15:40:35,25877994,6135.0,1823.0,0,148421
173,2016-03-25 15:40:46,26018829,6169.0,1835.0,0,140835
174,2016-03-25 15:40:56,26181400,6207.0,1844.0,0,162571
175,2016-03-25 15:41:06,26297241,6234.0,1853.0,0,115841
176,2016-03-25 15:41:16,26469866,6275.0,1867.0,0,172625
177,2016-03-25 15:41:27,26667934,6322.0,1881.0,0,198068
178,2016-03-25 15:41:37,26747774,6341.0,1886.0,0,79840
179,2016-03-25 15:41:47,26912589,6381.0,1897.0,0,164815
180,2016-03-25 15:41:57,27057244,6414.0,1907.0,0,144655
181,2016-03-25 15:42:07,27230287,6456.0,1921.0,0,173043
182,2016-03-25 15:42:18,27397047,6496.0,1923.0,0,166760
183,2016-03-25 15:42:28,27501940,6520.0,1934.0,0,104893
184,2016-03-25 15:42:38,27703949,6568.0,1955.0,0,202009
185,2016-03-25 15:42:48,27808125,6593.0,1962.0,0,104176
186,2016-03-25 15:42:59,27991143,6636.0,1976.0,0,183018
187,2016-03-25 15:43:09,28141051,6672.0,1985.0,0,149908
188,2016-03-25 15:43:19,28290622,6707.0,1995.0,0,149571
189,2016-03-25 15:43:29,28432675,6741.0,2006.0,0,142053
190,2016-03-25 15:43:39,28563655,6772.0,2013.0,0,130980
191,2016-03-25 15:43:50,28719404,6809.0,2025.0,0,155749
192,2016-03-25 15:44:00,28873164,6845.0,2036.0,0,153760
193,2016-03-25 15:44:10,28995111,6874.0,2046.0,0,121947
194,2016-03-25 15:44:20,29183982,6919.0,2062.0,0,188871
195,2016-03-25 15:44:31,29351315,6958.0,2062.0,0,167333
196,2016-03-25 15:44:41,29496282,6993.0,2078.0,0,144967
197,2016-03-25 15:44:51,29620916,7022.0,2089.0,0,124634
198,2016-03-25 15:45:01,29775428,7059.0,2099.0,0,154512
199,2016-03-25 15:45:12,29927152,7095.0,2113.0,0,151724
200,2016-03-25 15:45:22,30131609,7144.0,2126.0,0,204457
201,2016-03-25 15:45:32,30220754,7165.0,2133.0,0,89145
202,2016-03-25 15:45:43,30393037,7206.0,2140.0,0,172283
203,2016-03-25 15:45:53,30550348,7243.0,2152.0,0,157311
204,2016-03-25 15:46:03,30723090,7284.0,2166.0,0,172742
205,2016-03-25 15:46:13,30820744,7307.0,2175.0,0,97654
206,2016-03-25 15:46:23,31039150,7359.0,2187.0,0,218406
207,2016-03-25 15:46:34,31167327,7389.0,2198.0,0,128177
208,2016-03-25 15:46:44,31306368,7422.0,2207.0,0,139041
209,2016-03-25 15:46:54,31427325,7451.0,2217.0,0,120957
210,2016-03-25 15:47:05,31604136,7493.0,2228.0,0,176811
211,2016-03-25 15:47:15,31728005,7522.0,2235.0,0,123869
212,2016-03-25 15:47:25,31906842,7564.0,2251.0,0,178837
213,2016-03-25 15:47:35,32058913,7600.0,2263.0,0,152071
214,2016-03-25 15:47:45,32220016,7639.0,2275.0,0,161103
215,2016-03-25 15:47:56,32402682,7682.0,2286.0,0,182666
216,2016-03-25 15:48:06,32527317,7711.0,2295.0,0,124635
217,2016-03-25 15:48:16,32638116,7738.0,2302.0,0,110799
218,2016-03-25 15:48:26,32813479,7780.0,2316.0,0,175363
219,2016-03-25 15:48:37,32988810,7821.0,2328.0,0,175331
220,2016-03-25 15:48:47,33089488,7845.0,2335.0,0,100678
221,2016-03-25 15:48:57,33259387,7885.0,2349.0,0,169899
222,2016-03-25 15:49:07,33450658,7930.0,2354.0,0,191271
223,2016-03-25 15:49:18,33579286,7961.0,2370.0,0,128628
224,2016-03-25 15:49:28,33701463,7990.0,2374.0,0,122177
225,2016-03-25 15:49:38,33834016,8021.0,2386.0,0,132553
226,2016-03-25 15:49:48,33967511,8053.0,2397.0,0,133495
227,2016-03-25 15:49:58,34105728,8086.0,2404.0,0,138217
228,2016-03-25 15:50:09,34299248,8131.0,2426.0,0,193520
229,2016-03-25 15:50:19,34420364,8160.0,2426.0,0,121116
230,2016-03-25 15:50:29,34548830,8191.0,2437.0,0,128466
231,2016-03-25 15:50:39,34730232,8234.0,2453.0,0,181402
232,2016-03-25 15:50:50,34878425,8269.0,2463.0,0,148193
233,2016-03-25 15:51:00,35015068,8301.0,2472.0,0,136643
234,2016-03-25 15:51:10,35192103,8343.0,2488.0,0,177035
235,2016-03-25 15:51:20,35318417,8373.0,2495.0,0,126314
236,2016-03-25 15:51:30,35498273,8416.0,2509.0,0,179856
237,2016-03-25 15:51:41,35627764,8446.0,2518.0,0,129491
238,2016-03-25 15:51:51,35795214,8486.0,2527.0,0,167450
239,2016-03-25 15:52:01,35948750,8523.0,2537.0,0,153536
240,2016-03-25 15:52:11,36100247,8558.0,2546.0,0,151497
241,2016-03-25 15:52:22,36247203,8593.0,2560.0,0,146956
242,2016-03-25 15:52:32,36371838,8623.0,2567.0,0,124635
243,2016-03-25 15:52:42,36554656,8666.0,2581.0,0,182818
244,2016-03-25 15:52:53,36711812,8703.0,2595.0,0,157156
245,2016-03-25 15:53:03,36829572,8731.0,2602.0,0,117760
246,2016-03-25 15:53:13,37024109,8778.0,2616.0,0,194537
247,2016-03-25 15:53:23,37131787,8803.0,2620.0,0,107678
248,2016-03-25 15:53:33,37317160,8847.0,2636.0,0,185373
249,2016-03-25 15:53:44,37426366,8873.0,2646.0,0,109206
250,2016-03-25 15:53:54,37557336,8904.0,2650.0,0,130970
251,2016-03-25 15:54:04,37804830,8963.0,2671.0,0,247494
252,2016-03-25 15:54:14,37907348,8987.0,2678.0,0,102518
253,2016-03-25 15:54:25,38093149,9031.0,2690.0,0,185801
254,2016-03-25 15:54:35,38212150,9059.0,2699.0,0,119001
255,2016-03-25 15:54:45,38389904,9102.0,2710.0,0,177754
256,2016-03-25 15:54:55,38548846,9139.0,2720.0,0,158942
257,2016-03-25 15:55:06,38612306,9155.0,2724.0,0,63460
258,2016-03-25 15:55:16,38825711,9205.0,2743.0,0,213405
259,2016-03-25 15:55:26,38979546,9241.0,2754.0,0,153835
260,2016-03-25 15:55:36,39102910,9271.0,2759.0,0,123364
261,2016-03-25 15:55:47,39242303,9303.0,2771.0,0,139393
262,2016-03-25 15:55:57,39396063,9340.0,2780.0,0,153760
263,2016-03-25 15:56:07,39535001,9373.0,2791.0,0,138938
264,2016-03-25 15:56:17,39676922,9407.0,2801.0,0,141921
