now,doc,size(MB),storageSize(MB),chunk
2016-03-25 15:43:39,28563655,6772,2013,0
2016-03-25 15:43:50,28719404,6809,2025,0
2016-03-25 15:44:00,28873164,6845,2036,0
2016-03-25 15:44:10,28995111,6874,2046,0
2016-03-25 15:44:20,29183982,6919,2062,0
2016-03-25 15:44:31,29351315,6958,2062,0
2016-03-25 15:44:41,29496282,6993,2078,0
2016-03-25 15:44:51,29620916,7022,2089,0
2016-03-25 15:45:01,29775428,7059,2099,0
2016-03-25 15:45:12,29927152,7095,2113,0
2016-03-25 15:45:22,30131609,7144,2126,0
2016-03-25 15:45:32,30220754,7165,2133,0
2016-03-25 15:45:43,30393037,7206,2140,0
2016-03-25 15:45:53,30550348,7243,2152,0
2016-03-25 15:46:03,30723090,7284,2166,0
2016-03-25 15:46:13,30820744,7307,2175,0
2016-03-25 15:46:23,31039150,7359,2187,0
2016-03-25 15:46:34,31167327,7389,2198,0
2016-03-25 15:46:44,31306368,7422,2207,0
2016-03-25 15:46:54,31427325,7451,2217,0
2016-03-25 15:47:05,31604136,7493,2228,0
2016-03-25 15:47:15,31728005,7522,2235,0
2016-03-25 15:47:25,31906842,7564,2251,0
2016-03-25 15:47:35,32058913,7600,2263,0
2016-03-25 15:47:45,32220016,7639,2275,0
2016-03-25 15:47:56,32402682,7682,2286,0
2016-03-25 15:48:06,32527317,7711,2295,0
2016-03-25 15:48:16,32638116,7738,2302,0
2016-03-25 15:48:26,32813479,7780,2316,0
2016-03-25 15:48:37,32988810,7821,2328,0
2016-03-25 15:48:47,33089488,7845,2335,0
2016-03-25 15:48:57,33259387,7885,2349,0
2016-03-25 15:49:07,33450658,7930,2354,0
2016-03-25 15:49:18,33579286,7961,2370,0
2016-03-25 15:49:28,33701463,7990,2374,0
2016-03-25 15:49:38,33834016,8021,2386,0
2016-03-25 15:49:48,33967511,8053,2397,0
2016-03-25 15:49:58,34105728,8086,2404,0
2016-03-25 15:50:09,34299248,8131,2426,0
2016-03-25 15:50:19,34420364,8160,2426,0
2016-03-25 15:50:29,34548830,8191,2437,0
2016-03-25 15:50:39,34730232,8234,2453,0
2016-03-25 15:50:50,34878425,8269,2463,0
2016-03-25 15:51:00,35015068,8301,2472,0
2016-03-25 15:51:10,35192103,8343,2488,0
2016-03-25 15:51:20,35318417,8373,2495,0
2016-03-25 15:51:30,35498273,8416,2509,0
2016-03-25 15:51:41,35627764,8446,2518,0
2016-03-25 15:51:51,35795214,8486,2527,0
2016-03-25 15:52:01,35948750,8523,2537,0
2016-03-25 15:52:11,36100247,8558,2546,0
2016-03-25 15:52:22,36247203,8593,2560,0
2016-03-25 15:52:32,36371838,8623,2567,0
2016-03-25 15:52:42,36554656,8666,2581,0
2016-03-25 15:52:53,36711812,8703,2595,0
2016-03-25 15:53:03,36829572,8731,2602,0
2016-03-25 15:53:13,37024109,8778,2616,0
